Column1,original,translation
0,"Article_NOUN_O_NN_root_1 (article)1_NUM_S-CARDINAL_CD_dep_Article (1)1
","?i?u_NOUN_O_N_root_1: (?i?u)1:_PUNCT_O_:_punct_?i?u (1:)1:
"
0,"The_DET_O_DT_det_Purposes (the)Purposes_PROPN_O_NNPS_nsubj_are (Purposes)of_ADP_O_IN_case_Nations (of)the_DET_B-ORG_DT_det_Nations (the)United_ADJ_I-ORG_NNP_amod_Nations (United)Nations_PROPN_E-ORG_NNPS_nmod_Purposes (Nation)are_VERB_O_VBP_root_: (be):_PUNCT_O_:_punct_are (:):
","M?c ?ích_NOUN_O_N_root_là: (M?c ?ích)c?a_ADP_O_Pre_case_Liên (c?a)Liên_SYM_B-ORGANIZATION_Z_nmod:poss_M?c ?ích (Liên)h?p qu?c_PROPN_E-ORGANIZATION_NNP_compound_Liên (h?p qu?c)là:_PUNCT_O_._punct_M?c ?ích (là:)là:
"
0,"To_PART_O_TO_mark_maintain (to)maintain_VERB_O_VB_root_, (maintain)international_ADJ_O_JJ_amod_peace (international)peace_NOUN_O_NN_obj_maintain (peace)and_CCONJ_O_CC_cc_security (and)security_NOUN_O_NN_conj_peace (security),_PUNCT_O_,_punct_end (,)and_CCONJ_O_CC_cc_end (and)to_ADP_O_IN_case_end (to)that_DET_O_DT_det_end (that)end_NOUN_O_NN_conj_peace (end):_PUNCT_O_:_punct_take (:)to_PART_O_TO_mark_take (to)take_VERB_O_VB_conj_maintain (take)effective_ADJ_O_JJ_amod_measures (effective)collective_ADJ_O_JJ_amod_measures (collective)measures_NOUN_O_NNS_obj_take (measure)for_ADP_O_IN_case_prevention (for)the_DET_O_DT_det_prevention (the)prevention_NOUN_O_NN_nmod_measures (prevention)and_CCONJ_O_CC_cc_removal (and)removal_NOUN_O_NN_conj_prevention (removal)of_ADP_O_IN_case_threats (of)threats_NOUN_O_NNS_nmod_prevention (threat)to_ADP_O_IN_case_peace (to)the_DET_O_DT_det_peace (the)peace_NOUN_O_NN_nmod_threats (peace),_PUNCT_O_,_punct_suppression (,)and_CCONJ_O_CC_cc_suppression (and)for_ADP_O_IN_case_suppression (for)the_DET_O_DT_det_suppression (the)suppression_NOUN_O_NN_conj_prevention (suppression)of_ADP_O_IN_case_acts (of)acts_NOUN_O_NNS_nmod_suppression (act)of_ADP_O_IN_case_aggression (of)aggression_NOUN_O_NN_nmod_acts (aggression)or_CCONJ_O_CC_cc_breaches (or)other_ADJ_O_JJ_amod_breaches (other)breaches_NOUN_O_NNS_conj_acts (breach)of_ADP_O_IN_case_peace (of)the_DET_O_DT_det_peace (the)peace_NOUN_O_NN_nmod_breaches (peace),_PUNCT_O_,_punct_maintain (,),
","Duy_VERB_O_V_root_ng?a (Duy)trì_VERB_O_V_xcomp_Duy (trì)hoà bình_NOUN_O_N_obj_trì (hoà bình)và_CCONJ_O_CC_cc_an ninh (và)an ninh_NOUN_O_N_conj_hoà bình (an ninh)qu?c t?,_NOUN_O_N_compound_an ninh (qu?c t?,)và_CCONJ_O_CC_cc_??t (và)??_ADP_O_Pre_mark:pcomp_??t (??)??t_VERB_O_V_advcl:objective_Duy (??t)???c_ADV_O_Adv_advmod_??t (???c)m?c ?ích ?ó,_NOUN_O_N_obj_??t (m?c ?ích ?ó,)thi hành_VERB_O_V_acl:subj_m?c ?ích ?ó, (thi hành)nh?ng_DET_O_Det_det_bi?n pháp (nh?ng)bi?n pháp_NOUN_O_N_obj_thi hành (bi?n pháp)t?p th?_ADJ_O_Adj_amod_bi?n pháp (t?p th?)có_VERB_O_V_acl:subj_bi?n pháp (có)hi?u qu?_NOUN_O_N_obj_có (hi?u qu?)??_ADP_O_Pre_mark:pcomp_phòng (??)phòng_VERB_O_V_advcl:objective_có (phòng)ng?a_VERB_O_V_xcomp_phòng (ng?a)ng?a
"
0,"and_CCONJ_O_CC_cc_bring (and)to_PART_O_TO_mark_bring (to)bring_VERB_O_VB_root_; (bring)about_ADP_O_IN_compound:prt_bring (about)by_ADP_O_IN_case_means (by)peaceful_ADJ_O_JJ_amod_means (peaceful)means_NOUN_O_NNS_obl_bring (means),_PUNCT_O_,_punct_conformity (,)and_CCONJ_O_CC_cc_conformity (and)in_ADP_O_IN_case_conformity (in)conformity_NOUN_O_NN_conj_means (conformity)with_ADP_O_IN_case_principles (with)the_DET_O_DT_det_principles (the)principles_NOUN_O_NNS_nmod_conformity (principle)of_ADP_O_IN_case_justice (of)justice_NOUN_O_NN_nmod_principles (justice)and_CCONJ_O_CC_cc_law (and)international_ADJ_O_JJ_amod_law (international)law_NOUN_O_NN_conj_justice (law),_PUNCT_O_,_punct_adjustment (,)adjustment_NOUN_O_NN_conj_principles (adjustment)or_CCONJ_O_CC_cc_settlement (or)settlement_NOUN_O_NN_conj_adjustment (settlement)of_ADP_O_IN_case_disputes (of)international_ADJ_O_JJ_amod_disputes (international)disputes_NOUN_O_NNS_nmod_adjustment (dispute)or_CCONJ_O_CC_cc_situations (or)situations_NOUN_O_NNS_conj_disputes (situation)which_PRON_O_WDT_nsubj_lead (which)might_AUX_O_MD_aux_lead (might)lead_VERB_O_VB_acl:relcl_principles (lead)to_ADP_O_IN_case_breach (to)a_DET_O_DT_det_breach (a)breach_NOUN_O_NN_obl_lead (breach)of_ADP_O_IN_case_peace (of)the_DET_O_DT_det_peace (the)peace_NOUN_O_NN_nmod_breach (peace);_PUNCT_O_:_punct_bring (;);
","và_CCONJ_O_CC_cc_lo?i (và)lo?i_VERB_O_V_root_; (lo?i)tr?_VERB_O_V_compound:svc_lo?i (tr?)các_DET_O_Det_det_m?i (các)m?i_NOUN_O_N_obj_lo?i (m?i)?e_VERB_O_V_acl:subj_m?i (?e)d?a_NOUN_O_N_obj_?e (d?a)hoà_NOUN_O_N_nmod_d?a (hoà)bìn_NOUN_O_N_compound_hoà (bìn)h,_PUNCT_O_,_punct_c?m (h,)c?m_VERB_O_V_conj_lo?i (c?m)m?i_DET_O_Det_det_hành vi (m?i)hành vi_NOUN_O_N_obj_c?m (hành vi)xâm l??c_VERB_O_V_acl:subj_hành vi (xâm l??c)và_CCONJ_O_CC_cc_phá ho?i (và)phá ho?i_VERB_O_V_conj_xâm l??c (phá ho?i)hoà_VERB_O_V_xcomp_phá ho?i (hoà)bình_NOUN_O_N_obj_hoà (bình)khác_ADJ_O_Adj_amod_bình (khác);_PUNCT_O_;_punct_lo?i (;);
"
0,"To_PART_O_TO_mark_develop (to)develop_VERB_O_VB_root_; (develop)friendly_ADJ_O_JJ_amod_relations (friendly)relations_NOUN_O_NNS_obj_develop (relation)among_ADP_O_IN_case_nations (among)nations_NOUN_O_NNS_nmod_relations (nation)based_VERB_O_VBN_advcl_develop (base)on_ADP_O_IN_case_respect (on)respect_NOUN_O_NN_obl_based (respect)for_ADP_O_IN_case_principle (for)the_DET_O_DT_det_principle (the)principle_NOUN_O_NN_nmod_respect (principle)of_ADP_O_IN_case_rights (of)equal_ADJ_O_JJ_amod_rights (equal)rights_NOUN_O_NNS_nmod_principle (right)and_CCONJ_O_CC_cc_determination (and)self_NOUN_O_NN_compound_determination (self)-_PUNCT_O_HYPH_punct_self (-)determination_NOUN_O_NN_conj_rights (determination)of_ADP_O_IN_case_peoples (of)peoples_NOUN_O_NNS_nmod_determination (people),_PUNCT_O_,_punct_take (,)and_CCONJ_O_CC_cc_take (and)to_PART_O_TO_mark_take (to)take_VERB_O_VB_conj_develop (take)other_ADJ_O_JJ_amod_measures (other)appropriate_ADJ_O_JJ_amod_measures (appropriate)measures_NOUN_O_NNS_obj_take (measure)to_PART_O_TO_mark_strengthen (to)strengthen_VERB_O_VB_acl_measures (strengthen)universal_ADJ_O_JJ_amod_peace (universal)peace_NOUN_O_NN_obj_strengthen (peace);_PUNCT_O_:_punct_develop (;);
","Phát tri?n_VERB_O_V_root_gi?i; (Phát tri?n)m?i_NOUN_O_N_obj_Phát tri?n (m?i)quan h?_NOUN_O_N_nmod_m?i (quan h?)h?u ngh?_NOUN_O_N_compound_quan h? (h?u ngh?)gi?a_ADP_O_Pre_case_dân (gi?a)các_DET_O_Det_det_dân (các)dân_NOUN_O_N_nmod:poss_m?i (dân)t?c_NOUN_O_N_compound_dân (t?c)trên_NOUN_O_N_case_c? s? (trên)c? s?_NOUN_O_N_obl_m?i (c? s?)tôn tr?ng_VERB_O_V_acl:subj_c? s? (tôn tr?ng)nguyên t?c_NOUN_O_N_obj_tôn tr?ng (nguyên t?c)bình ??ng_ADJ_O_Adj_amod_nguyên t?c (bình ??ng)và_CCONJ_O_CC_cc_t? quy?t (và)t? quy?t_ADJ_O_Adj_conj_bình ??ng (t? quy?t)c?a_ADP_O_Pre_case_dân t?c (c?a)các_DET_O_Det_det_dân t?c (các)dân t?c_NOUN_O_N_nmod:poss_nguyên t?c (dân t?c)và_CCONJ_O_CC_cc_áp d?ng (và)áp d?ng_VERB_O_V_conj_tôn tr?ng (áp d?ng)nh?ng_DET_O_Det_det_bi?n pháp (nh?ng)bi?n pháp_NOUN_O_N_obj_áp d?ng (bi?n pháp)phù h?p khác_ADJ_O_Adj_amod_bi?n pháp (phù h?p khác)??_ADP_O_Pre_mark:pcomp_c?ng c? (??)c?ng c?_VERB_O_V_advcl:objective_bi?n pháp (c?ng c?)hoà_NOUN_O_N_obj_c?ng c? (hoà)bình th?_NOUN_O_N_nmod_hoà (bình th?)gi?i;_PUNCT_O_._punct_Phát tri?n (gi?i;)gi?i;
"
0,"To_PART_O_TO_mark_achieve (to)achieve_VERB_O_VB_root_and (achieve)international_ADJ_O_JJ_amod_co-operation (international)co-operation_NOUN_O_NN_obj_achieve (co-operation)in_SCONJ_O_IN_mark_solving (in)solving_VERB_O_VBG_acl_co-operation (solve)international_ADJ_O_JJ_amod_problems (international)problems_NOUN_O_NNS_obj_solving (problem)of_ADP_O_IN_case_character (of)an_DET_O_DT_det_character (a)economic_ADJ_O_JJ_amod_character (economic),_PUNCT_O_,_punct_social (,)social_ADJ_O_JJ_conj_economic (social),_PUNCT_O_,_punct_cultural (,)cultural_ADJ_O_JJ_conj_economic (cultural),_PUNCT_O_,_punct_humanitarian (,)or_CCONJ_O_CC_cc_humanitarian (or)humanitarian_ADJ_O_JJ_conj_economic (humanitarian)character_NOUN_O_NN_nmod_problems (character),_PUNCT_O_,_punct_promoting (,)and_CCONJ_O_CC_cc_promoting (and)in_SCONJ_O_IN_mark_promoting (in)promoting_VERB_O_VBG_conj_solving (promote)and_CCONJ_O_CC_cc_encouraging (and)encouraging_VERB_O_VBG_conj_promoting (encourage)respect_NOUN_O_NN_obj_promoting (respect)for_ADP_O_IN_case_rights (for)human_ADJ_O_JJ_amod_rights (human)rights_NOUN_O_NNS_nmod_respect (right)and_CCONJ_O_CC_cc_freedoms (and)for_ADP_O_IN_case_freedoms (for)fundamental_ADJ_O_JJ_amod_freedoms (fundamental)freedoms_NOUN_O_NNS_conj_respect (freedom)for_ADP_O_IN_case_all (for)all_DET_O_DT_nmod_freedoms (all)without_ADP_O_IN_case_distinction (without)distinction_NOUN_O_NN_nmod_freedoms (distinction)as_ADP_O_IN_case_race (as)to_ADP_O_IN_fixed_as (to)race_NOUN_O_NN_nmod_freedoms (race),_PUNCT_O_,_punct_sex (,)sex_NOUN_O_NN_conj_race (sex),_PUNCT_O_,_punct_language (,)language_NOUN_O_NN_conj_race (language),_PUNCT_O_,_punct_religion (,)or_CCONJ_O_CC_cc_religion (or)religion_NOUN_O_NN_conj_race (religion);_PUNCT_O_:_punct_and (;)and_CCONJ_O_CC_dep_achieve (and)and
","Th?c hi?n_VERB_O_V_root_giáo; (Th?c hi?n)s?_NOUN_O_Nc_obj_Th?c hi?n (s?)h?p tác_VERB_O_V_acl:tonp_s? (h?p tác)qu?c t?_NOUN_O_N_obj_h?p tác (qu?c t?)trong_ADP_O_Pre_case_vi?c (trong)vi?c_NOUN_O_N_obl_s? (vi?c)gi?i quy?t_VERB_O_V_compound:vmod_vi?c (gi?i quy?t)các_DET_O_Det_det_v?n ?? (các)v?n ??_NOUN_O_N_obj_gi?i quy?t (v?n ??)qu?c t?_ADJ_O_Adj_amod_v?n ?? (qu?c t?)v?_ADP_O_Pre_case_kinh t?, (v?)kinh t?,_NOUN_O_N_obl_v?n ?? (kinh t?,)xã h?_NOUN_O_N_nmod_kinh t?, (xã h?)i,_PUNCT_O_;_punct_v?n hoá (i,)v?n hoá_NOUN_O_N_conj_xã h? (v?n hoá)và_CCONJ_O_CC_cc_nhân ??o (và)nhân ??o_ADJ_O_Adj_conj_xã h? (nhân ??o)và_CCONJ_O_CC_cc_khuy?n khích (và)khuy?n khích_VERB_O_V_conj_xã h? (khuy?n khích)phát tri?n_VERB_O_V_xcomp_khuy?n khích (phát tri?n)s?_NOUN_O_N_obj_phát tri?n (s?)tôn tr?ng_VERB_O_V_compound:vmod_s? (tôn tr?ng)các_DET_O_Det_det_quy?n (các)quy?n_NOUN_O_N_nmod_s? (quy?n)c?a_ADP_O_Pre_case_con ng??i (c?a)con ng??i_NOUN_O_N_nmod:poss_quy?n (con ng??i)và_CCONJ_O_CC_cc_do (và)các_DET_O_Det_det_ng??i (các)t?_PRON_O_Pro_det:pmod_do (t?)do_VERB_O_V_acl:subj_quy?n (do)c? b?n_ADJ_O_Adj_xcomp_do (c? b?n)cho_ADP_O_Pre_case_ng??i (cho)t?t c?_PRON_O_Pro_det_ng??i (t?t c?)m?i_DET_O_Det_det_ng??i (m?i)ng??i_NOUN_O_N_nsubj_phân bi?t (ng??i)không_ADV_O_Adv_advmod:neg_phân bi?t (không)phân bi?t_VERB_O_V_xcomp_do (phân bi?t)ch?ng t?_NOUN_O_N_obj_phân bi?t (ch?ng t?)c,_PUNCT_O_;_punct_ngôn (c,)nam n?,_SYM_O_Z_amod_ngôn (nam n?,)ngôn_NOUN_O_N_appos_ch?ng t? (ngôn)ng?_NOUN_O_N_nmod_ngôn (ng?)ho?c_CCONJ_O_CC_cc_tôn (ho?c)tôn_NOUN_O_N_conj_ngôn (tôn)giáo;_PUNCT_O_..._compound_tôn (giáo;)giáo;
"
0,"To_PART_O_TO_mark_centre (to)be_AUX_O_VB_cop_centre (be)a_DET_O_DT_det_centre (a)centre_NOUN_O_NN_root_. (centre)for_SCONJ_O_IN_mark_harmonizing (for)harmonizing_VERB_O_VBG_acl_centre (harmonize)the_DET_O_DT_det_actions (the)actions_NOUN_O_NNS_obj_harmonizing (action)of_ADP_O_IN_case_nations (of)nations_NOUN_O_NNS_nmod_actions (nation)in_ADP_O_IN_case_attainment (in)the_DET_O_DT_det_attainment (the)attainment_NOUN_O_NN_obl_harmonizing (attainment)of_ADP_O_IN_case_ends (of)these_DET_O_DT_det_ends (this)common_ADJ_O_JJ_amod_ends (common)ends_NOUN_O_NNS_nmod_attainment (end)._PUNCT_O_._punct_centre (.).
","Tr? thành_VERB_O_V_root_trên. (Tr? thành)trung tâm_NOUN_O_N_obj_Tr? thành (trung tâm)ph?i_VERB_O_V_acl:subj_trung tâm (ph?i)h?p_ADJ_O_Adj_xcomp_ph?i (h?p)m?i_DET_O_Det_det_hành ??ng (m?i)hành ??ng_NOUN_O_N_obj_ph?i (hành ??ng)c?a_ADP_O_Pre_case_dân t? (c?a)các_DET_O_Det_det_dân t? (các)dân t?_NOUN_O_N_nmod:poss_hành ??ng (dân t?)c,_PUNCT_O_,_compound_dân t? (c,)nh?m_VERB_O_V_mark:pcomp_??t (nh?m)??t_VERB_O_V_advcl:objective_Tr? thành (??t)???c_ADV_O_Adv_advmod_??t (???c)nh?ng_DET_O_Det_det_m?c ?ích (nh?ng)m?c ?ích_NOUN_O_N_obj_??t (m?c ?ích)chung_ADJ_O_Adj_amod_m?c ?ích (chung)nói_VERB_O_V_acl:subj_m?c ?ích (nói)trên._PUNCT_O_._punct_Tr? thành (trên.)trên.
"
0,"Article_NOUN_O_NN_root_2 (article)2_NUM_S-CARDINAL_CD_dep_Article (2)2
","?i?u_NOUN_O_N_root_2: (?i?u)2:_PUNCT_O_:_punct_?i?u (2:)2:
"
0,"The_DET_B-ORG_DT_det_Organization (the)Organization_PROPN_I-ORG_NNP_nsubj_act (Organization)and_CCONJ_I-ORG_CC_cc_Members (and)its_PRON_I-ORG_PRP$_nmod:poss_Members (its)Members_PROPN_E-ORG_NNPS_conj_Organization (Member),_PUNCT_O_,_punct_Organization (,)in_ADP_O_IN_case_pursuit (in)pursuit_NOUN_O_NN_nmod_Organization (pursuit)of_ADP_O_IN_case_Purposes (of)the_DET_O_DT_det_Purposes (the)Purposes_NOUN_S-ORG_NNS_nmod_pursuit (purpose)stated_VERB_O_VBN_acl_Purposes (state)in_ADP_O_IN_case_Article (in)Article_NOUN_B-LAW_NN_obl_stated (article)1_NUM_E-LAW_CD_nummod_Article (1),_PUNCT_O_,_punct_Organization (,)shall_AUX_O_MD_aux_act (shall)act_VERB_O_VB_root_. (act)in_ADP_O_IN_case_accordance (in)accordance_NOUN_O_NN_obl_act (accordance)with_ADP_O_IN_case_Principles (with)the_DET_B-LAW_DT_det_Principles (the)following_VERB_I-LAW_VBG_amod_Principles (follow)Principles_NOUN_E-LAW_NNS_nmod_accordance (Principle)._PUNCT_O_._punct_act (.).
","??_ADP_O_Pre_mark:pcomp_??t (??)??t_VERB_O_V_root_?ây: (??t)???c_ADV_O_Adv_advmod_??t (???c)nh?ng_DET_O_Det_det_m?c ?ích (nh?ng)m?c ?ích_NOUN_O_N_obj_??t (m?c ?ích)nêu_VERB_O_V_acl:subj_m?c ?ích (nêu)?_ADP_O_Pre_case_?i?u (?)?i?u_NOUN_O_N_obl_nêu (?i?u)1,_NUM_O_Num_nummod_?i?u (1,)Liên_SYM_O_Z_nmod_?i?u (Liên)h?p qu?c_NOUN_O_N_compound_?i?u (h?p qu?c)và_CCONJ_O_CC_cc_thành viên (và)các_DET_O_Det_det_thành viên (các)thành viên_NOUN_O_N_conj_h?p qu?c (thành viên)Liên_SYM_O_Z_amod_thành viên (Liên)h?p qu?c_NOUN_O_N_compound_Liên (h?p qu?c)hành ??ng_VERB_O_V_compound:vmod_Liên (hành ??ng)phù h?p_VERB_O_V_xcomp_hành ??ng (phù h?p)v?i_ADP_O_Pre_case_nguyên t?c (v?i)nh?ng_DET_O_Det_det_nguyên t?c (nh?ng)nguyên t?c_NOUN_O_N_obl_phù h?p (nguyên t?c)sau_ADJ_O_Adj_amod_nguyên t?c (sau)?ây:_PUNCT_O_._punct_??t (?ây:)?ây:
"
0,"The_DET_O_DT_det_Organization (the)Organization_NOUN_S-ORG_NN_nsubj:pass_based (Organization)is_AUX_O_VBZ_aux:pass_based (be)based_VERB_O_VBN_root_. (base)on_ADP_O_IN_case_principle (on)the_DET_O_DT_det_principle (the)principle_NOUN_O_NN_obl_based (principle)of_ADP_O_IN_case_equality (of)the_DET_O_DT_det_equality (the)sovereign_ADJ_O_JJ_amod_equality (sovereign)equality_NOUN_O_NN_nmod_principle (equality)of_ADP_O_IN_case_Members (of)all_DET_O_PDT_det:predet_Members (all)its_PRON_O_PRP$_nmod:poss_Members (its)Members_PROPN_O_NNPS_nmod_equality (Member)._PUNCT_O_._punct_based (.).
","Liên_SYM_O_Z_nsubj:pass_xây d?ng (Liên)h?p qu?c_NOUN_O_N_nmod_Liên (h?p qu?c)???c_AUX_O_AUX_aux:pass_xây d?ng (???c)xây d?ng_VERB_O_V_root_. (xây d?ng)trên_ADP_O_Pre_case_nguyên t?c (trên)nguyên t?c_NOUN_O_N_obl_xây d?ng (nguyên t?c)bình ??ng_ADJ_O_Adj_amod_nguyên t?c (bình ??ng)ch? quy?n_NOUN_O_N_obj_bình ??ng (ch? quy?n)c?a_ADP_O_Pre_case_qu?c gia (c?a)t?t c?_PRON_O_Pro_det_qu?c gia (t?t c?)các_DET_O_Det_det_qu?c gia (các)qu?c gia_NOUN_O_N_nmod:poss_nguyên t?c (qu?c gia)thành viên_NOUN_O_N_compound_qu?c gia (thành viên)._PUNCT_O_._punct_xây d?ng (.).
"
